# Please take the real part 
                  # kx (1/A)                    ky (1/A)                    kz (1/A)               real(Omega_x)               real(Omega_y)               real(Omega_z)
           -0.5506713110E+00           -0.2983534634E-01            0.0000000000E+00           -0.7605462599E-02           -0.1081441416E-02            0.2564667535E+00
           -0.5506713110E+00           -0.1989023089E-01            0.0000000000E+00           -0.2767191221E-01           -0.5606363994E-03            0.1719134378E+00
           -0.5506713110E+00           -0.9945115446E-02            0.0000000000E+00           -0.6032536984E-01           -0.4047329065E-04            0.8734066097E-01
           -0.5506713110E+00            0.0000000000E+00            0.0000000000E+00           -0.9909351932E-01            0.4721155523E-03            0.2626834030E-02
           -0.5506713110E+00            0.9945115446E-02            0.0000000000E+00           -0.1373600800E+00            0.9739368274E-03           -0.8255552815E-01
           -0.5506713110E+00            0.1989023089E-01            0.0000000000E+00           -0.1684537642E+00            0.1462502175E-02           -0.1685040904E+00
           -0.5506713110E+00            0.2983534634E-01            0.0000000000E+00           -0.1857381395E+00            0.1932960534E-02           -0.2552514141E+00
           -0.5506713110E+00            0.3978046178E-01            0.0000000000E+00           -0.1826887777E+00            0.2375664564E-02           -0.3423074130E+00
           -0.5506713110E+00            0.4972557723E-01            0.0000000000E+00           -0.1529506702E+00            0.2774964531E-02           -0.4283629942E+00
           -0.5506713110E+00            0.5967069268E-01            0.0000000000E+00           -0.9038144218E-01            0.3109663779E-02           -0.5109514724E+00
           -0.5506713110E+00            0.6961580812E-01            0.0000000000E+00            0.1089648433E-01            0.3355314927E-02           -0.5860861369E+00
           -0.5506713110E+00            0.7956092357E-01            0.0000000000E+00            0.1563915834E+00            0.3488183231E-02           -0.6479239839E+00
           -0.5506713110E+00            0.8950603901E-01            0.0000000000E+00            0.3510266877E+00            0.3490273548E-02           -0.6885458362E+00
           -0.5506713110E+00            0.9945115446E-01            0.0000000000E+00            0.5987460147E+00            0.3354371107E-02           -0.6979847113E+00
           -0.5506713110E+00            0.1093962699E+00            0.0000000000E+00            0.9019033657E+00            0.3087704280E-02           -0.6646605475E+00
           -0.5506713110E+00            0.1193413854E+00            0.0000000000E+00            0.1260449515E+01            0.2712782955E-02           -0.5763622803E+00
           -0.5506713110E+00            0.1292865008E+00            0.0000000000E+00            0.1671038162E+01            0.2264402808E-02           -0.4218255656E+00
           -0.5506713110E+00            0.1392316162E+00            0.0000000000E+00            0.2126290132E+01            0.1782838324E-02           -0.1927702387E+00
           -0.5506713110E+00            0.1491767317E+00            0.0000000000E+00            0.2614539598E+01            0.1304702734E-02            0.1139822484E+00
           -0.5506713110E+00            0.1591218471E+00            0.0000000000E+00            0.3120359020E+01            0.8542684760E-03            0.4948946427E+00
           -0.5506713110E+00            0.1690669626E+00            0.0000000000E+00            0.3625972905E+01            0.4384224351E-03            0.9392078767E+00
           -0.5506713110E+00            0.1790120780E+00            0.0000000000E+00            0.4113360874E+01            0.4734841552E-04            0.1429894345E+01
           -0.5506713110E+00            0.1889571935E+00            0.0000000000E+00            0.4566555156E+01           -0.3392287401E-03            0.1945947644E+01
           -0.5506713110E+00            0.1989023089E+00            0.0000000000E+00            0.4973523421E+01           -0.7427039142E-03            0.2465408220E+01
           -0.5506713110E+00            0.2088474244E+00            0.0000000000E+00            0.5327172256E+01           -0.1176697835E-02            0.2968293228E+01
           -0.5506713110E+00            0.2187925398E+00            0.0000000000E+00            0.5625332013E+01           -0.1641511206E-02            0.3438722192E+01
           -0.5506713110E+00            0.2287376553E+00            0.0000000000E+00            0.5869914947E+01           -0.2123068925E-02            0.3865904365E+01
           -0.5506713110E+00            0.2386827707E+00            0.0000000000E+00            0.6065627261E+01           -0.2595712616E-02            0.4244060243E+01
           -0.5506713110E+00            0.2486278861E+00            0.0000000000E+00            0.6218623083E+01           -0.3027194865E-02            0.4571611233E+01
           -0.5506713110E+00            0.2585730016E+00            0.0000000000E+00            0.6335372833E+01           -0.3384142678E-02            0.4850037440E+01
           -0.5506713110E+00            0.2685181170E+00            0.0000000000E+00            0.6421868924E+01           -0.3636753312E-02            0.5082727663E+01
           -0.5506713110E+00            0.2784632325E+00            0.0000000000E+00            0.6483172105E+01           -0.3762128945E-02            0.5274014995E+01
           -0.5506713110E+00            0.2884083479E+00            0.0000000000E+00            0.6523234681E+01           -0.3746165726E-02            0.5428471634E+01
           -0.5506713110E+00            0.2983534634E+00            0.0000000000E+00            0.6544915487E+01           -0.3584200060E-02            0.5550456313E+01
           -0.5506713110E+00            0.3082985788E+00            0.0000000000E+00            0.6550108235E+01           -0.3280715453E-02            0.5643867969E+01
           -0.5506713110E+00            0.3182436943E+00            0.0000000000E+00            0.6539923262E+01           -0.2848402046E-02            0.5712048358E+01
           -0.5506713110E+00            0.3281888097E+00            0.0000000000E+00            0.6514882522E+01           -0.2306803951E-02            0.5757781319E+01
           -0.5506713110E+00            0.3381339252E+00            0.0000000000E+00            0.6475103975E+01           -0.1680727490E-02            0.5783347594E+01
           -0.5506713110E+00            0.3480790406E+00            0.0000000000E+00            0.6420463128E+01           -0.9985347273E-03            0.5790606108E+01
           -0.5506713110E+00            0.3580241561E+00            0.0000000000E+00            0.6350726925E+01           -0.2904153255E-03            0.5781082661E+01
           -0.5506713110E+00            0.3679692715E+00            0.0000000000E+00            0.6265659483E+01            0.4132875441E-03            0.5756054644E+01
           -0.5506713110E+00            0.3779143869E+00            0.0000000000E+00            0.6165101527E+01            0.1083630217E-02            0.5716625646E+01
           -0.5506713110E+00            0.3878595024E+00            0.0000000000E+00            0.6049026385E+01            0.1694439053E-02            0.5663787267E+01
           -0.5506713110E+00            0.3978046178E+00            0.0000000000E+00            0.5917575834E+01            0.2223443571E-02            0.5598467623E+01
           -0.5506713110E+00            0.4077497333E+00            0.0000000000E+00            0.5771079087E+01            0.2653127325E-02            0.5521567213E+01
           -0.5506713110E+00            0.4176948487E+00            0.0000000000E+00            0.5610058055E+01            0.2971265942E-02            0.5433983518E+01
           -0.5506713110E+00            0.4276399642E+00            0.0000000000E+00            0.5435221814E+01            0.3171139796E-02            0.5336625981E+01
           -0.5506713110E+00            0.4375850796E+00            0.0000000000E+00            0.5247452867E+01            0.3251429111E-02            0.5230423060E+01
           -0.5506713110E+00            0.4475301951E+00            0.0000000000E+00            0.5047787550E+01            0.3215819620E-02            0.5116323037E+01
           -0.5506713110E+00            0.4574753105E+00            0.0000000000E+00            0.4837392574E+01            0.3072365110E-02            0.4995290059E+01
